Del;Arbetsmoment;Grupp;Rad;Moment/Typ/Sort;Underlag/Variant;Enhet;0;-1;-2;-3;-4;-5;-6;-7;-8;-9
9;9500016;500;16;Apparattavla för 1 kopplingsur/relä/trappautomat inkl märkning;Rör = -0 / Kabel = -1;tavla;0,76;0,88;;;;;;;;
9;9501010;501;10;Mätarblock av standardtavlor 1–3-pol, 2 mätarplatser;Rör = -0 / Kabel = -1;block;1,3;1,35;;;;;;;;
9;9501011;501;11;Mätarblock standard 3 platser;Rör = -0 / Kabel = -1;block;1,82;1,93;;;;;;;;
9;9501012;501;12;Mätarblock standard 4 platser;Rör = -0 / Kabel = -1;block;2,2;2,35;;;;;;;;
9;9502010;502;10;Mätarblock kompakta 1–3-pol 25 A, 1 plats;Rör = -0 / Kabel = -1;block;0,97;0,98;;;;;;;;
9;9502011;502;11;Mätarblock kompakta, 2 platser;Rör = -0 / Kabel = -1;block;1,35;1,42;;;;;;;;
9;9502012;502;12;Mätarblock kompakta, 3 platser;Rör = -0 / Kabel = -1;block;1,6;1,72;;;;;;;;
9;9502013;502;13;Mätarblock kompakta, 4 platser;Rör = -0 / Kabel = -1;block;1,87;2,03;;;;;;;;
9;9502014;502;14;Mätarblock kompakta, 6 platser;Rör = -0 / Kabel = -1;block;2,32;2,57;;;;;;;;
9;9502015;502;15;Mätarblock kompakta, 1-pol 9 platser;Rör = -0 / Kabel = -1;block;2,21;2,7;;;;;;;;
9;9502016;502;16;Mätarblock kompakta, 3-pol 9 platser;Rör = -0 / Kabel = -1;block;2,73;3,62;;;;;;;;
9;9504010;504;10;Montering mätare 1-pol t.o.m. 25 A;Tavla/skåp = -0 / Block = -1;mätare;0,53;0,45;;;;;;;;
9;9504011;504;11;Montering mätare 3-pol 25–63 A;Tavla/skåp = -0 / Block = -1;mätare;0,73;0,62;;;;;;;;
9;9510010;510;10;Brytare t.o.m. 40 A / 6 mm²;I centralkombinationer;brytare;0,69;;;;;;;;;
9;9510011;510;11;Brytare t.o.m. 80 A / 16 mm²;I centralkombinationer;brytare;0,85;;;;;;;;;
9;9510012;510;12;Brytare t.o.m. 160 A / 70 mm²;Kombination eller separat, max 2 kablar;brytare;1,75;;;;;;;;;
9;9510013;510;13;Brytare t.o.m. 320 A / 185 mm²;Kombination eller separat, max 2 kablar;brytare;2,81;;;;;;;;;
9;9512010;512;10;Gruppcentral G II t.o.m. 3 säkringsapparater;Rör = -0 / Kabel = -1;central;0,8;0,93;;;;;;;;
9;9512011;512;11;Gruppcentral G II 4–6 säkringsapparater;Rör = -0 / Kabel = -1;central;1,02;1,29;;;;;;;;
9;9512012;512;12;Gruppcentral G II 7–12 säkringsapparater;Rör = -0 / Kabel = -1;central;1,47;1,91;;;;;;;;
9;9512013;512;13;Gruppcentral G II 13–18 säkringsapparater;Rör = -0 / Kabel = -1;central;1,71;2,25;;;;;;;;
