Del;Arbetsmoment;Grupp;Rad;Moment/Typ/Sort;Underlag/Variant;Enhet;0;-1;-2;-3;-4;-5;-6;-7;-8;-9
9;9617011;617;11;Tillägg: inkoppling inkom/utg. kablar >6–16 mm² (max 63 A);—;central;0,6;;;;;;;;;
9;9617012;617;12;Tillägg: snäppfästa separat apparat i automatsäkringscentral;—;apparat;0,02;;;;;;;;;
9;9619010;619;10;Tillägg: inkoppling inkom/utg. kablar >6–16 mm² (max 63 A);—;central;0,6;;;;;;;;;
9;9619011;619;11;Tillägg: snäppfästa separat apparat i automatsäkringscentral;—;apparat;0,02;;;;;;;;;
9;9998010;998;10;Tillägg rullställning 4–10 m – uppsättning av enheter;Motordr./ej = -0 / Motordr. från plattform = -1;arbetsställe;0,09;0,06;;;;;;;;
10;10500010;500;10;Inkoppling med skruv/bult/överfallsklamma;;inkoppling;0,02;0,02;0,04;0,06;0,08;0,14;0,21;0,32;;
10;10500011;500;11;Inkoppling med färdigskalad ledare eller kabelsko;;inkoppling;0,01;0,02;0,03;0,04;0,05;0,08;0,11;0,16;0,24;0,32
10;10500012;500;12;Inkoppling inkl montering av kabelsko/pinnhylsa;;inkoppling;0,05;0,06;0,08;0,09;0,16;0,26;0,31;0,39;0,49;0,59
10;10500013;500;13;Skruvlös inkoppling med flatstift eller liknande;;inkoppling;0,01;;;;;;;;;
10;10500014;500;14;Slitsplint NER 20101;;inkoppling;0,01;;;;;;;;;
10;10500017;500;17;Inkoppling inkl montering ringkabelsko/pinnhylsa, lödning;;inkoppling;0,04;0,07;0,1;0,14;;;;;;
10;10500018;500;18;Inkoppling med presstång;;inkoppling;0,04;0,05;0,06;0,08;;;;;;
10;10504010;504;10;Skarvning med pressverktyg (Al/Cu);;skarv;0,04;0,05;0,09;0,11;0,12;0,24;0,26;0,3;;
10;10510010;510;10;Plastmantlad kabel ≤2,5 mm² eller Ø ≤17 mm;kabelände;st;0,11;0,09;;0,15;0,12;;;;;
10;10510011;510;11;Plastmantlad kabel 4–6 mm² eller Ø ≤20 mm;kabelände;st;0,13;0,09;;0,17;0,13;;;;;
10;10510012;510;12;Plastmantlad kabel 10–16 mm² eller Ø ≤30 mm;kabelände;st;0,14;0,1;;0,19;0,14;;;;;
10;10510013;510;13;Plastmantlad kabel >16 mm² eller Ø ≤40 mm;kabelände;st;0,16;0,1;0,39;0,21;0,16;;;;;
10;10510015;510;15;Tillägg: halogenfri/brandsäker 6–16 mm² eller Ø ≤30 mm;kabelände;st;0,01;;;;;;;;;
10;10510016;510;16;Tillägg: halogenfri/brandsäker >16 mm² eller Ø ≤40 mm;kabelände;st;0,02;;;;;;;;;
10;10512010;512;10;Kulo-/gummikabel ≤2,5 mm²;kabelände;st;0,07;0,05;;0,08;0,06;;;;;
10;10512011;512;11;Kulo-/gummikabel 4–6 mm²;kabelände;st;0,1;0,07;;0,11;0,08;;;;;
10;10512012;512;12;Kulo-/gummikabel 10–16 mm²;kabelände;st;0,11;0,07;;0,12;0,08;;;;;
10;10512013;512;13;Kulo-/gummikabel 25–35 mm²;kabelände;st;0,12;0,08;;0,13;0,08;;;;;
10;10514011;514;11;Mantlad/skärmad 10–35 mm² eller Ø ≤32 mm;kabelände;st;0,19;0,15;0,29;0,24;0,2;;;;;
10;10514012;514;12;Mantlad/skärmad 50–120 mm² eller Ø ≤47 mm;kabelände;st;;0,23;0,41;;0,29;;;;;
10;10514013;514;13;Mantlad/skärmad 150–300 mm² eller Ø ≤65 mm;kabelände;st;;0,31;0,53;;0,38;;;;;
10;10514015;514;15;Tillägg: halogenfri/brandsäker ≤6 mm² eller Ø ≤17 mm;kabelände;st;0,01;;;;;;;;;
10;10514016;514;16;Tillägg: halogenfri/brandsäker 10–35 mm² eller Ø ≤32 mm;kabelände;st;0,02;;;;;;;;;
10;10514017;514;17;Tillägg: halogenfri/brandsäker 50–120 mm² eller Ø ≤47 mm;kabelände;st;0,03;;;;;;;;;
10;10514018;514;18;Tillägg: halogenfri/brandsäker 150–300 mm² eller Ø ≤65 mm;kabelände;st;0,03;;;;;;;;;
10;10514020;514;20;Tillägg: uppflätning av koppartrådsfläta ≤0,5 m;fläta;st;0,25;;;;;;;;;
10;10516010;516;10;Skarv 2-ledare;komplett inkl uppskalning/press;skarv;0,87;0,92;;;;;;;;
10;10516011;516;11;Skarv 3-ledare;komplett inkl uppskalning/press;skarv;0,98;1,03;;;;;;;;
10;10516012;516;12;Skarv 4-ledare;komplett inkl uppskalning/press;skarv;1,23;1,29;1,4;1,73;2,11;2,59;3,17;;;
10;10516013;516;13;Skarv 5-ledare;komplett inkl uppskalning/press;skarv;1,34;1,41;1,53;1,93;2,38;2,95;3,63;;;
10;10517010;517;10;MV-skarv 10–50 mm² PEX;inomhus/utomhus;skarv;1,8;2,6;;;;;;;;
10;10517012;517;12;MV-skarv 70–95 mm² PEX;inomhus/utomhus;skarv;3;6,55;;;;;;;;
10;10517014;517;14;MV-skarv 120–185 mm² PEX;inomhus/utomhus;skarv;3,47;7,2;;;;;;;;
10;10517016;517;16;MV-skarv 240–300 mm² PEX;inomhus/utomhus;skarv;4;8,6;;;;;;;;
10;10517018;517;18;MV-skarv 400–500 mm² PEX;inomhus/utomhus;skarv;4,6;;;;;;;;;
10;10517020;517;20;MV-skarv 630 mm² PEX;inomhus/utomhus;skarv;5,6;;;;;;;;;
10;10518010;518;10;MV-ändavslutning 10–50 mm² PEX;;ändavslutning;0,55;0,8;0,7;1;;;;;;
10;10518012;518;12;MV-ändavslutning 70–95 mm² PEX;;ändavslutning;0,9;1,6;1;2;;;;;;
10;10518014;518;14;MV-ändavslutning 120–185 mm² PEX;;ändavslutning;1,05;2,2;1,15;2,5;;;;;;
10;10518016;518;16;MV-ändavslutning 240–300 mm² PEX;;ändavslutning;1,2;3;1,35;3,3;;;;;;
10;10518018;518;18;MV-ändavslutning 400–500 mm² PEX;;ändavslutning;1,4;;1,6;;;;;;;
10;10518020;518;20;MV-ändavslutning 630 mm² PEX;;ändavslutning;1,7;;2;;;;;;;
10;10526010;526;10;Uppringning av ej färg-/siffermärkta starkströmsledare;;uppringning;0,06;;;;;;;;;
10;10526012;526;12;Märka kabel/ledare med märkband eller märkpenna;;ledn. ände;0,01;;;;;;;;;
10;10526013;526;13;Märka ledare med märkhylsor (max 10 mm bred);;hylsa;0,01;;;;;;;;;
10;10526015;526;15;Märka kabel/ledare med prefabricerad hylsa t.o.m. 25 mm bred;;per hylsa;0,03;;;;;;;;;
10;10526016;526;16;Tillägg per 10 mm över 25 mm på prefabricerad hylsa;;hylsa;0,01;;;;;;;;;
10;10526017;526;17;Inställa/prova motorskydd, trappautomater, tidur e.d.;;apparat;0,05;;;;;;;;;
10;10526019;526;19;Texta kabelskylt med märkpenna;;skylt;0,01;;;;;;;;;
10;10526021;526;21;Märka kabel med kabelskylt;;skylt;0,01;;;;;;;;;
10;10526026;526;26;Märka kabel med märkband av plåt;;märkband;0,01;;;;;;;;;
10;10527010;527;10;Sammanfoga ledare till stock inkl. utplock;;m stock;0,25;;;;;;;;;
10;10527012;527;12;Ilägga/iskjuta ledare i kabelbunthållare;;m ledare;0,01;;;;;;;;;
10;10527014;527;14;Ilägga/ordna ledare i kabelkanal inkl. lock;;m ledare;0,01;;;;;;;;;
10;10527016;527;16;Kapa kabelkanal av plast;;kapning;0,02;;;;;;;;;
10;10527018;527;18;Fastklistra hållare/kanal på underlag;;m hållare etc;0,05;;;;;;;;;
10;10529010;529;10;Tillägg: särskilt svåråtkomligt/skymt inkopplingsställe;;inkoppling;0,02;;;;;;;;;
10;10529012;529;12;Montera skyddshylsa av plast/gummi över anslutningsställe;;skyddshylsa;0,01;;;;;;;;;
10;10529018;529;18;Tillägg för uppskalning av RHH;;uppskalning;0,01;;;;;;;;;
10;10532010;532;10;Montering i skena – itrycka plint/ändbricka;;plint;0,01;;;;;;;;;
10;10532011;532;11;Låsa plintrad med 2 ändstöd;;plintrad;0,03;;;;;;;;;
10;10532018;532;18;Märka plint inkl ev. märkningshållare;;plint;0,01;;;;;;;;;
10;10532019;532;19;Montera självhäftande märkningsrad;;hel märkningsrad;0,01;;;;;;;;;
10;10534010;534;10;Montera anslutningskabel i dragavlastning;;dragavlastning;0,03;;;;;;;;;
10;10540010;540;10;Doslock t.o.m. 4 skruv;Montera = -0 / Demo+montera = -1;lock;0,02;0,02;;;;;;;;
10;10540011;540;11;Lock/kåpa/beröringsskydd/vred/handtag t.o.m. 4 skruv;Montera = -0 / Demo+montera = -1;lock etc;0,03;0,04;;;;;;;;
10;10540012;540;12;Insats/nollskena/nollplint t.o.m. 25 kg;Montera = -0 / Demo+montera = -1;insats;0,04;0,05;;;;;;;;
10;10545010;545;10;Hopmontera apparater/centrallådor i flänsöppning inkl packning/mellanstycken;;hopmonterad;0,09;;;;;;;;;
10;10545011;545;11;Fästa fläns inkl ev. packning;;fläns;0,05;;;;;;;;;
10;10545012;545;12;Bortta utbrytningar/ursågningar i kåpa;;kåpa;0,04;;;;;;;;;
10;10998010;998;10;Tillägg vid apparatkoppling;Motordrivna/ej = -0 / Motordrivna från plattform = -1;arbetsställe;0,09;0,06;;;;;;;;
11;11001010;001;10;I två monterade wireupphäng;Komplett levererad armatur, oavsett underlag (armatur t.o.m. 75 cm);armatur;0,20;0,23;;;;;;;;
11;11001011;001;11;Med monterade fästen på lina, undertak eller underlag;Komplett levererad armatur, oavsett underlag (armatur t.o.m. 75 cm);armatur;0,16;0,19;;;;;;;;
11;11002010;002;10;Med 2 inkopplingar;Fastsättning med 2 fästskruv, armaturmått t.o.m. 75 cm (T.O.M 3 kg);armatur;0,11;0,09;0,08;;;;;;;
11;11002011;002;11;Med 3 inkopplingar;Fastsättning med 2 fästskruv, armaturmått t.o.m. 75 cm (T.O.M 3 kg);armatur;0,14;0,13;0,10;;;;;;;
11;11002012;002;12;Med stickpropp eller snabbkoppling;Fastsättning med 2 fästskruv, armaturmått t.o.m. 75 cm (T.O.M 3 kg);armatur;0,10;0,08;0,07;;;;;;;
11;11002013;002;13;Tillkommande fästskruv/bult/expander;Fastsättning med 2 fästskruv, armaturmått t.o.m. 75 cm (T.O.M 3 kg);skruv;0,03;;;;;;;;;
11;11002014;002;14;LED list/kabel, 2 st inkopplingar;Fastsättning med 2 fästskruv, armaturmått t.o.m. 75 cm (T.O.M 3 kg);st;0,12;;;;;;;;;
11;11003010;003;10;Med 3 inkopplingar;Fastsättning med 2 fästskruv, armaturmått t.o.m. 75 cm (ÖVER 3 T.O.M 15 kg);armatur;0,18;0,16;0,13;;;;;;;
11;11003011;003;11;Med stickpropp eller snabbkoppling;Fastsättning med 2 fästskruv, armaturmått t.o.m. 75 cm (ÖVER 3 T.O.M 15 kg);armatur;0,14;0,10;0,10;;;;;;;
11;11003012;003;12;Tillkommande fästskruv/bult/expander;Fastsättning med 2 fästskruv, armaturmått t.o.m. 75 cm (ÖVER 3 T.O.M 15 kg);skruv;0,03;;;;;;;;;
11;11004010;004;10;EKK /EBB/EQQ/EKRK/RKK/RBB;Uppskalning t.o.m. 100 cm, ledning t.o.m. 2,5 mm2 + tätningsdon;uppskalning;0,11;0,09;;;;;;;;
11;11004011;004;11;EKLK/EBB-AL/EQLQ;Uppskalning t.o.m. 100 cm, ledning t.o.m. 2,5 mm2 + tätningsdon;uppskalning;0,13;0,09;;;;;;;;
11;11005010;005;10;I en upphängningswire eller kedja;Tillägg upphängning med wire/kedja/pendel;armatur;0,07;;;;;;;;;
11;11005011;005;11;Tillkommande wire eller kedja;Tillägg upphängning med wire/kedja/pendel;wire etc;0,10;;;;;;;;;
11;11005012;005;12;Uppordna anslutningskabel (t.o.m. 5 m) på wire/kedja inkl. avlastning;Tillägg upphängning med wire/kedja/pendel;armatur;0,04;;;;;;;;;
11;11005013;005;13;Uppordna anslutningskabel över 5 m;Tillägg upphängning med wire/kedja/pendel;m;0,02;;;;;;;;;
11;11005014;005;14;Rikta armaturer som monteras med wire/pendel vid taklutning/snedtak;Tillägg upphängning med wire/kedja/pendel;armatur;0,03;;;;;;;;;
11;11006010;006;10;Montera separat lev. rörpendel i armatur;Rörpendel;pendel;0,05;;;;;;;;;
11;11006011;006;11;Kapa rörpendel;Rörpendel;kapning;0,02;;;;;;;;;
11;11006012;006;12;Idraga ledning i rörpendel;Rörpendel;armatur;0,02;;;;;;;;;
11;11007010;007;10;Armaturmått över 75 t.o.m. 175 cm;Tillägg längd;armatur;0,06;;;;;;;;;
11;11007011;007;11;Armaturmått över 175 t.o.m. 300 cm;Tillägg längd;armatur;0,09;;;;;;;;;
11;11007012;007;12;Uppsättning av armatur under överskåp, 145 cm ö.g. eller lägre;Tillägg längd;armatur;0,04;;;;;;;;;
11;11007013;007;13;LED list/kabel utöver 75 cm;Tillägg längd;meter;0,09;;;;;;;;;
11;11008010;008;10;Utan gäng- eller skruvfastsättning;Tillkommande detaljer (t.o.m. 5 kg);detalj;0,01;0,02;;;;;;;;
11;11008011;008;11;Med gäng- eller skruvfastsättning;Tillkommande detaljer (t.o.m. 5 kg);detalj;0,02;0,03;;;;;;;;
11;11008012;008;12;Lys/ledrör;Tillkommande detaljer (t.o.m. 5 kg);st;0,02;0,03;;;;;;;;
11;11008013;008;13;Ljuskälla övriga;Tillkommande detaljer (t.o.m. 5 kg);ljuskälla;0,01;0,02;;;;;;;;
11;11009010;009;10;Skyddstransformator 12 V, dimmerpuckar, komplett monterad;Tillkommande detaljer;st;0,14;;;;;;;;;
11;11010010;010;10;Hopmontera armaturer med skruv i samband med rampmontering;Tilläggsarbeten;hopmontering;0,08;;;;;;;;;
11;11010011;010;11;Borttaga skyddsfilm på reflektor eller raster;Tilläggsarbeten;st;0,03;;;;;;;;;
11;11010012;010;12;Ijacka lys/ledrörshållare i samband med montage (max 4 st);Tilläggsarbeten;armatur;0,04;;;;;;;;;
11;11010013;010;13;Tillägg armatur kapslingsklass IP 44-67;Tilläggsarbeten;armatur;0,05;;;;;;;;;
11;11010014;010;14;Borttaga urtagsanvisning;Tilläggsarbeten;anvisning;0,01;;;;;;;;;
11;11010015;010;15;Påträda slang på manteljord t.o.m. 50 cm;Tilläggsarbeten;slang;0,01;;;;;;;;;
11;11010016;010;16;Tillkommande inkoppling;Tilläggsarbeten;inkoppling;0,02;;;;;;;;;
11;11010017;010;17;Tillkommande inkoppling färdigskalad ledare;Tilläggsarbeten;inkoppling;0,01;;;;;;;;;
11;11010018;010;18;Anslutning jordningskabel;Tilläggsarbeten;anslutning;0,01;;;;;;;;;
11;11010019;010;19;Ijacka snabbkoppling;Tilläggsarbeten;ijackning;0,01;;;;;;;;;
11;11010020;010;20;Montera anslutningskabel i dragavlastning;Tilläggsarbeten;avlastning;0,03;;;;;;;;;
11;11010021;010;21;Mont. av stickkontakt/lamppropp t.o.m. 3 pol med dragavlastning;Tilläggsarbeten;kontakt;0,09;;;;;;;;;
11;11010022;010;22;Montera sladdställ i armatur t.o.m. 3-ledare;Tilläggsarbeten;sladdställ;0,04;;;;;;;;;
11;11010023;010;23;Inställning av switchar i armatur i samband med montage;Tilläggsarbeten;armatur;0,08;;;;;;;;;
11;11011010;011;10;Med 1 skruv;Uppsätta krok/fäste/bygel/konsol för armatur;fäste;0,05;0,02;;;;;;;;
11;11011011;011;11;Med 2 skruv;Uppsätta krok/fäste/bygel/konsol för armatur;fäste;0,09;0,04;;;;;;;;
11;11011012;011;12;Med 4 skruv;Uppsätta krok/fäste/bygel/konsol för armatur;fäste;0,14;0,08;;;;;;;;
11;11011015;011;15;Fastsätta klammer för balk;Uppsätta krok/fäste/bygel/konsol för armatur;klammer;;0,03;;;;;;;;
11;11012010;012;10;Rikta armaturer vid synlig radmontering fr.o.m. fjärde armaturen (mellanrum max 100 cm);Riktning armaturer;armatur;0,07;0,10;;;;;;;;
11;11013010;013;10;Omflytta ej skruvfastsatta kassetter (t.o.m. 5 st) vid armaturmontage i undertak;Undertak;armatur;0,06;;;;;;;;;
11;11013011;013;11;Demontera och montera kassett med 4 skruv (inkl eventuell omflyttning);Undertak;kassett;0,06;;;;;;;;;
11;11013012;013;12;Montera stagwire/metalltråd för armatur i undertak, exkl. fästen;Undertak;wire etc.;0,02;;;;;;;;;
11;11013013;013;13;Montera bärskena i undertak;Undertak;bärskena;0,10;;;;;;;;;
11;11013014;013;14;Montera skyddskåpa/box;Undertak;kåpa;0,05;;;;;;;;;
11;11013015;013;15;Upplägga och anpassa förstärkningsplåt/monteringsskiva vid armaturmontage i undertak;Undertak;plåt;0,07;;;;;;;;;
11;11013016;013;16;Håltagning för ledningsgenomföring;Undertak;hål;0,02;;;;;;;;;
11;11014010;014;10;T.o.m. Ø 70 mm;Håltagning för downlights i undertaksskivor;hål;0,03;0,02;;;;;;;;
11;11014011;014;11;T.o.m. Ø 100 mm;Håltagning för downlights i undertaksskivor;hål;0,05;0,04;;;;;;;;
11;11014012;014;12;T.o.m. Ø 150 mm;Håltagning för downlights i undertaksskivor;hål;0,07;0,05;;;;;;;;
11;11014013;014;13;T.o.m. Ø 200 mm;Håltagning för downlights i undertaksskivor;hål;0,11;0,07;;;;;;;;
11;11014014;014;14;T.o.m. Ø 400 mm;Håltagning för downlights i undertaksskivor;hål;0,14;0,08;;;;;;;;
11;11014015;014;15;T.o.m. Ø 600 mm;Håltagning för downlights i undertaksskivor;hål;0,18;0,10;;;;;;;;
11;11260010;260;10;Armatur fig 1 t.o.m. 2 rör;Rengöring/byte lysrör/ledrör/urladdningslampa;t.o.m. 2 rör;0,16;;;;;;;;;
11;11260011;260;11;Armatur fig 1, 3 t.o.m. 4 rör;Rengöring/byte lysrör/ledrör/urladdningslampa;t.o.m. 4 rör;0,20;;;;;;;;;
11;11260012;260;12;Armatur fig 2 t.o.m. 2 rör;Rengöring/byte lysrör/ledrör/urladdningslampa;t.o.m. 2 rör;0,16;;;;;;;;;
11;11260013;260;13;Armatur fig 2, 3 t.o.m. 4 rör;Rengöring/byte lysrör/ledrör/urladdningslampa;t.o.m. 4 rör;0,20;;;;;;;;;
11;11260014;260;14;Armatur fig 3 t.o.m. 2 rör;Rengöring/byte lysrör/ledrör/urladdningslampa;t.o.m. 2 rör;0,20;;;;;;;;;
11;11260015;260;15;Armatur fig 3, 3 t.o.m. 4 rör;Rengöring/byte lysrör/ledrör/urladdningslampa;t.o.m. 4 rör;0,24;;;;;;;;;
11;11260016;260;16;Armatur för urladdningslampa fig 4;Rengöring/byte lysrör/ledrör/urladdningslampa;urladdningslampa;0,16;;;;;;;;;
11;11262010;262;10;Byte av erforderligt antal glimtändare (inkl hantering av raster/kåpor);Tändare/HF-don/lamphållare;armatur;0,05;;;;;;;;;
11;11262011;262;11;Byte av HF-don i befintlig monterad armatur;Tändare/HF-don/lamphållare;armatur;0,15;;;;;;;;;
11;11262012;262;12;Plocka isär lamphållare i samband med inkoppling;Tändare/HF-don/lamphållare;lamphållare;0,02;;;;;;;;;
11;11270010;270;10;Med eller utan fastsättningsklamma på underlag;Kontaktskenor inkl skarv/änd/anslutningsstycken;m;0,20;;;;;;;;;
11;11270015;270;15;På pendel inkl takfäste;Kontaktskenor inkl skarv/änd/anslutningsstycken;m;0,24;;;;;;;;;
11;11270020;270;20;Armatur på kontaktskena, inkl riktning;Kontaktskenor inkl skarv/änd/anslutningsstycken;armatur;0,10;;;;;;;;;
11;11270021;270;21;Uttagsdon på kontaktskena, inkl riktning;Kontaktskenor inkl skarv/änd/anslutningsstycken;uttagsdon;0,05;;;;;;;;;
11;11270025;270;25;Kapa kontaktskena;Kontaktskenor inkl skarv/änd/anslutningsstycken;kapning;0,12;;;;;;;;;
11;11270030;270;30;Montera vinkelskarv;Kontaktskenor inkl skarv/änd/anslutningsstycken;skarv;0,24;;;;;;;;;
11;11998010;998;10;Tillägg vid användning av rullställning arbetshöjd 4 t.o.m. 10 m vid armaturmontage;Rullställningstillägg;armatur;0,09;0,06;;;;;;;;
12;12501010;501;10;Ändfäste t.o.m. 10 mm²;;linände;0,37;;;;;;;;;
12;12501011;501;11;Ändfäste >10 t.o.m. 25 mm²;;linände;0,42;;;;;;;;;
12;12501012;501;12;Ändfäste >25 t.o.m. 50 mm²;;linände;0,46;;;;;;;;;
12;12503010;503;10;Fäste+stagtråd för bärlina utan linlås/skruvklämma;;tråd;0,12;;;;;;;;;
12;12503011;503;11;Fäste+stagtråd för bärlina med linlås/skruvklämma;;tråd;0,21;;;;;;;;;
12;12503012;503;12;Stagtråd för lina utan fäste/linlås/skruvklämma;;tråd;0,04;;;;;;;;;
12;12503013;503;13;Stagtråd för lina med linlås/skruvklämma;;tråd;0,12;;;;;;;;;
12;12505010;505;10;Utdraga och spänna lina t.o.m. 50 mm²;;m;0,02;;;;;;;;;
12;12506010;506;10;Montera stödben;;ben;0,29;;;;;;;;;
12;12506011;506;11;Kapa bär-/stagbalk/golvplatta (kapanordning finns);;platta/balk;0,15;;;;;;;;;
12;12506012;506;12;Montera bärbalk;;m;0,16;;;;;;;;;
12;12506013;506;13;Montera stagbalk;;m;0,12;;;;;;;;;
12;12506014;506;14;Utlägga golvplatta;;platta;0,09;;;;;;;;;
12;12506016;506;16;Bort-/återlägg befintlig golvplatta;;platta;0,09;;;;;;;;;
12;12515010;515;10;Standardstege – horisontellt;;m;0,07;0,09;;;;;;;;
12;12515011;515;11;Förstärkt stege – horisontellt;;m;0,11;0,14;;;;;;;;
12;12515015;515;15;Standardstege vertikal t.o.m. 300 mm;;m;0,22;0,23;0,13;0,15;;;;;;
12;12515016;515;16;Standardstege vertikal t.o.m. 600 mm;;m;0,24;0,25;0,14;0,16;;;;;;
12;12516010;516;10;Tillägg interiörlackerad stege (ändförslutning+potentialutjämning);;m;0,07;;;;;;;;;
12;12521010;521;10;Standardstege – avvinkling/förgrening;;detalj;0,15;0,31;0,19;;;;;;;
12;12521011;521;11;Förstärkt stege – avvinkling/förgrening;;detalj;0,16;0,32;0,19;;;;;;;
12;12522010;522;10;Väggkonsol 1–2 fästskruv;;st;0,18;;0,05;0,09;;;;;;
12;12522011;522;11;Takfäste (2 fästpkt) m. pendelskena;;st;0,25;;0,13;0,16;;;;;;
12;12522012;522;12;Takfäste (4 fästpkt) m. pendelskena;;st;0,31;;0,18;0,21;;;;;;
12;12522013;522;13;Takpendel (2 fästpkt);;st;0,18;;0,06;0,09;;;;;;
12;12522014;522;14;Takpendel (4 fästpkt);;st;0,23;;0,11;0,14;;;;;;
12;12522015;522;15;Bärok på pendel;;st;;;0,05;0,09;;;;;;
12;12522016;522;16;Konsol på pendel;;st;;;0,05;0,09;;;;;;
12;12522017;522;17;Takfäste för trapetsplåt;;st;;0,11;;;;;;;;
12;12522018;522;18;Montageskena för takfäste inkl kapning (2 fästpkt);;st;0,25;;0,11;;;;;;;
12;12525010;525;10;Upplägga ränna utan fastsättning;;m;0,03;;;;;;;;;
12;12525011;525;11;Upplägga+fästa ränna (bocka fästnabbar);;m;0,04;;;;;;;;;
12;12525012;525;12;Upplägga+fästa ränna (skruv/mutter/naj i bef. hål);;m;0,07;;;;;;;;;
12;12526010;526;10;Kapa pendel;;pendel;0,03;;;;;;;;;
12;12526011;526;11;Skarva pendel (4 skruv);;skarv;0,11;;;;;;;;;
12;12526012;526;12;Montera pendelstag;;stag;0,11;;;;;;;;;
12;12526013;526;13;Lock ≤100 mm;;lock;0,04;;;;;;;;;
12;12526014;526;14;Lock >100 t.o.m. 400 mm;;lock;0,06;;;;;;;;;
12;12526015;526;15;Urtag i lock för kabelgenomföring;;urtag;0,05;;;;;;;;;
12;12526016;526;16;Fästplåt/bottenplatta för dosa/armatur/apparat på stege/ränna;;fästplåt etc;0,04;;;;;;;;;
12;12526017;526;17;Fästa Caddyklamma/Fastways i samband med montage;;klämma;0,03;;;;;;;;;
12;12526018;526;18;Kassett/tvärskena/ränna (interiör- eller olackerad) – montera;;kassett;0,04;;;;;;;;;
12;12526019;526;19;Låsa kabelstege med bult på konsol;;fästpunkt;0,03;;;;;;;;;
12;12526020;526;20;Underläggsplatta (förstärkning);;st;0,05;;;;;;;;;
12;12526021;526;21;Färgmärkning stege (märkplåt/tejp);;st;0,02;;;;;;;;;
12;12526022;526;22;Ändskydd till stege/pendel;;st;0,03;;;;;;;;;
12;12530010;530;10;Trådstege – upplägg inkl skarvning (horis./vert.);;m;0,07;0,08;0,11;0,11;;;;;;
12;12530011;530;11;Tillägg: rakskarv med klippning;;skarv;0,04;0,07;0,07;0,08;;;;;;
12;12530012;530;12;Nivåavvinkling;;avvinkling;0,05;0,05;0,05;0,05;;;;;;
12;12530013;530;13;Vertikal avvinkling;;avvinkling;0,08;0,13;0,13;0,19;;;;;;
12;12530014;530;14;Avvinkling 90°;;avvinkling;0,07;0,12;0,13;0,21;;;;;;
12;12530015;530;15;Böj 90°;;böj;0,16;0,8;1,06;1,43;;;;;;
12;12530016;530;16;Rak förgrening;;förgrening;0,16;0,18;0,21;0,22;;;;;;
12;12530017;530;17;Sned förgrening;;förgrening;0,17;0,22;0,22;0,26;;;;;;
12;12530018;530;18;Y-förgrening;;förgrening;0,17;0,19;0,21;0,26;;;;;;
12;12530020;530;20;Takkonsol komplett för stege ≤220 mm;;st;0,31;0,31;0,18;0,22;;;;;;
12;12530021;530;21;Takkonsol komplett för stege ≤622 mm;;st;0,37;0,37;0,24;0,28;;;;;;
12;12530022;530;22;Väggkonsol;;st;0,18;0,18;0,05;0,09;;;;;;
12;12530023;530;23;Fäste;;st;0,11;0,15;0,04;0,06;;;;;;
12;12530030;530;30;Radiebegränsare;;st;0,04;;;;;;;;;
12;12530031;530;31;Plastknopp (skydd);;st;0,01;;;;;;;;;
12;12530032;530;32;Dosplåt;;st;0,04;;;;;;;;;
12;12530033;530;33;Teleränna med naj/skruv;;m;0,07;;;;;;;;;
12;12530034;530;34;Teleränna utan fastsättning;;m;0,03;;;;;;;;;
12;12530035;530;35;Avskiljningsplåt m. naj/skruv/fäste;;m;0,07;;;;;;;;;
12;12530036;530;36;Potentialutjämningsskruv (inkoppling tillkommer);;st;0,11;;;;;;;;;
12;12530037;530;37;Kapa pendel;;pendel;0,03;;;;;;;;;
12;12540010;540;10;Olackerad – upplägg inkl skarv (låsplugg) och rak avkapning;;m;0,06;0,07;0,11;0,14;;;;;;
12;12540011;540;11;Interiörlackerad – upplägg inkl dekorskarv;;m;0,09;0,11;0,27;0,3;;;;;;
12;12542010;542;10;Olackerad – avvinkling/förgrening;;detalj;0,14;0,17;;;;;;;;
12;12542011;542;11;Interiörlackerad – avvinkling/förgrening;;detalj;0,16;0,19;;;;;;;;
12;12542012;542;12;4-vägsförgrening (interiörlackerad/olackerad);;förgren.-detalj;;0,38;;;;;;;;
12;12544010;544;10;Lock olackerad;;m;0,04;0,04;0,06;0,08;;;;;;
12;12544011;544;11;Lock interiörlackerad;;m;0,05;0,06;0,08;0,11;;;;;;
12;12546010;546;10;Väggränna olackerad;;m;0,12;;;;;;;;;
12;12546011;546;11;Väggränna interiörlackerad;;m;0,15;;;;;;;;;
12;12551010;551;10;Väggkonsol 1–2 fästskruv;;st;0,18;;0,05;0,09;;;;;;
12;12551011;551;11;Takfäste (2 fästpkt) m. pendelskena;;st;0,25;;0,13;0,16;;;;;;
12;12551012;551;12;Takpendel (2 fästpkt);;st;0,18;;0,06;0,09;;;;;;
12;12551013;551;13;Bärok på pendel;;st;;;0,05;0,09;;;;;;
12;12551014;551;14;Konsol på pendel;;st;;;0,05;0,09;;;;;;
12;12551015;551;15;Trådpendel komplett montage;;st;0,22;;0,15;0,16;;;;;;
12;12551016;551;16;Rörpendel komplett montage;;st;0,31;;0,23;0,25;;;;;;
12;12551017;551;17;Wirependel komplett montage;;st;0,33;;0,26;0,28;;;;;;
12;12551018;551;18;Takfäste för trapetsplåt;;st;;0,11;;;;;;;;
